# of predictors,i,predictors,fold,f1_score_weighted
2,29,3|10,0,0.5929291604827067
2,29,3|10,1,0.646518816453457
2,29,3|10,2,0.5236957748750202
2,29,3|10,3,0.6663208083203638
2,29,3|10,4,0.6001043212270543
2,30,3|9,0,0.7390668825771498
2,30,3|9,1,0.6659434327779931
2,30,3|9,2,0.6575653120464441
2,30,3|9,3,0.5130653638315197
2,30,3|9,4,0.759166356992444
2,31,4|10,0,0.7307936507936508
2,31,4|10,1,0.6313932980599647
2,31,4|10,2,0.5763123913824406
2,31,4|10,3,0.5608460242606583
2,31,4|10,4,0.635244238374647
2,32,2|6,0,0.6803620091663569
2,32,2|6,1,0.5480249480249479
2,32,2|6,2,0.7086329308551531
2,32,2|6,3,0.6250038476929233
2,32,2|6,4,0.7654294915791141
2,33,6|9,0,0.6674103674103675
2,33,6|9,1,0.6018204248476331
2,33,6|9,2,0.7270571722184626
2,33,6|9,3,0.5466072256769932
2,33,6|9,4,0.7284973678416302
2,34,2|4,0,0.6901274327492584
2,34,2|4,1,0.6289592760180996
2,34,2|4,2,0.6449744109318578
2,34,2|4,3,0.5482663968597473
2,34,2|4,4,0.6331588821961094
2,35,5|7,0,0.6021463916200759
2,35,5|7,1,0.6471065879932875
2,35,5|7,2,0.6378262260615202
2,35,5|7,3,0.4027924130663856
2,35,5|7,4,0.687288637967537
2,36,1|10,0,0.6165018714038323
2,36,1|10,1,0.6303747534516765
2,36,1|10,2,0.6988418750285202
2,36,1|10,3,0.5369755137196998
2,36,1|10,4,0.6351665675881283
2,37,1|3,0,0.642774259053329
2,37,1|3,1,0.6297435897435898
2,37,1|3,2,0.6727153188691649
2,37,1|3,3,0.5924458055605597
2,37,1|3,4,0.7033070947964565
2,38,3|9,0,0.7390668825771498
2,38,3|9,1,0.6659434327779931
2,38,3|9,2,0.6575653120464441
2,38,3|9,3,0.5130653638315197
2,38,3|9,4,0.759166356992444
2,39,8|10,0,0.5934406678592724
2,39,8|10,1,0.6913082784450472
2,39,8|10,2,0.7624351968614264
2,39,8|10,3,0.4973626373626373
2,39,8|10,4,0.7152292152292152
2,40,0|8,0,0.6247009046541483
2,40,0|8,1,0.593112264080006
2,40,0|8,2,0.6538937271235644
2,40,0|8,3,0.5209745554573141
2,40,0|8,4,0.7096140108998088
2,41,1|8,0,0.6617012617012616
2,41,1|8,1,0.6006593406593407
2,41,1|8,2,0.6718800912349301
2,41,1|8,3,0.6359082094376213
2,41,1|8,4,0.7710707896754408
2,42,0|2,0,0.6277484373006761
2,42,0|2,1,0.5754053742564076
2,42,0|2,2,0.6147142617730852
2,42,0|2,3,0.5565296447821286
2,42,0|2,4,0.6534458037726011
2,43,3|5,0,0.6479480416347599
2,43,3|5,1,0.6045426530122299
2,43,3|5,2,0.7251652959200129
2,43,3|5,3,0.518037518037518
2,43,3|5,4,0.7360176311534027
2,44,7|8,0,0.6591931670860978
2,44,7|8,1,0.6210826210826211
2,44,7|8,2,0.5978737946424895
2,44,7|8,3,0.4766803840877914
2,44,7|8,4,0.6877168750742964
2,45,1|6,0,0.6627218934911242
2,45,1|6,1,0.5329899173917141
2,45,1|6,2,0.7519912177526856
2,45,1|6,3,0.6002884216882609
2,45,1|6,4,0.727714551243963
2,46,3|10,0,0.5929291604827067
2,46,3|10,1,0.646518816453457
2,46,3|10,2,0.5236957748750202
2,46,3|10,3,0.6663208083203638
2,46,3|10,4,0.6001043212270543
2,47,5|7,0,0.6021463916200759
2,47,5|7,1,0.6471065879932875
2,47,5|7,2,0.6378262260615202
2,47,5|7,3,0.4027924130663856
2,47,5|7,4,0.687288637967537
2,48,7|10,0,0.5718120805369127
2,48,7|10,1,0.6537526205450734
2,48,7|10,2,0.6343852874646619
2,48,7|10,3,0.5104503339797457
2,48,7|10,4,0.6202863276034007
2,49,1|3,0,0.642774259053329
2,49,1|3,1,0.6297435897435898
2,49,1|3,2,0.6727153188691649
2,49,1|3,3,0.5924458055605597
2,49,1|3,4,0.7033070947964565
2,50,5|10,0,0.561249522978793
2,50,5|10,1,0.6889534475741371
2,50,5|10,2,0.6688195718654435
2,50,5|10,3,0.5104503339797457
2,50,5|10,4,0.6386990986299251
2,51,0|8,0,0.6247009046541483
2,51,0|8,1,0.593112264080006
2,51,0|8,2,0.6538937271235644
2,51,0|8,3,0.5209745554573141
2,51,0|8,4,0.7096140108998088
2,52,7|9,0,0.6733896185115696
2,52,7|9,1,0.6235053987387826
2,52,7|9,2,0.6844555625043431
2,52,7|9,3,0.43394736417992236
2,52,7|9,4,0.6181975707317622
2,53,9|10,0,0.701783040696883
2,53,9|10,1,0.6675709460357989
2,53,9|10,2,0.6506481299320175
2,53,9|10,3,0.47254738015607584
2,53,9|10,4,0.5617455008759357
2,54,8|9,0,0.7061455454665088
2,54,8|9,1,0.7130341880341879
2,54,8|9,2,0.6503408498293408
2,54,8|9,3,0.47219978337230606
2,54,8|9,4,0.659919028340081
2,55,6|10,0,0.6234177283233887
2,55,6|10,1,0.586986047660205
2,55,6|10,2,0.650443276530233
2,55,6|10,3,0.45751567702787216
2,55,6|10,4,0.5906427490296573
2,56,4|10,0,0.7307936507936508
2,56,4|10,1,0.6313932980599647
2,56,4|10,2,0.5763123913824406
2,56,4|10,3,0.5608460242606583
2,56,4|10,4,0.635244238374647
2,57,1|10,0,0.6165018714038323
2,57,1|10,1,0.6303747534516765
2,57,1|10,2,0.6988418750285202
2,57,1|10,3,0.5369755137196998
2,57,1|10,4,0.6351665675881283
2,58,1|5,0,0.7010611191743267
2,58,1|5,1,0.6644969650006459
2,58,1|5,2,0.6986820009868998
2,58,1|5,3,0.6804290934022289
2,58,1|5,4,0.7196284694981933
2,59,7|9,0,0.6733896185115696
2,59,7|9,1,0.6235053987387826
2,59,7|9,2,0.6844555625043431
2,59,7|9,3,0.43394736417992236
2,59,7|9,4,0.6181975707317622
2,60,6|8,0,0.6571623672721741
2,60,6|8,1,0.6501227010781151
2,60,6|8,2,0.7074876398646889
2,60,6|8,3,0.4904112436027329
2,60,6|8,4,0.7620484091072328
2,61,3|5,0,0.6479480416347599
2,61,3|5,1,0.6045426530122299
2,61,3|5,2,0.7251652959200129
2,61,3|5,3,0.518037518037518
2,61,3|5,4,0.7360176311534027
2,62,0|9,0,0.641603989728743
2,62,0|9,1,0.6508248280004404
2,62,0|9,2,0.7007235447133144
2,62,0|9,3,0.47042142844940976
2,62,0|9,4,0.689149560117302
2,63,1|6,0,0.6627218934911242
2,63,1|6,1,0.5329899173917141
2,63,1|6,2,0.7519912177526856
2,63,1|6,3,0.6002884216882609
2,63,1|6,4,0.727714551243963
2,64,4|8,0,0.6346618357487922
2,64,4|8,1,0.6318587727785842
2,64,4|8,2,0.7183205719791085
2,64,4|8,3,0.5230387718728825
2,64,4|8,4,0.7681888432885497
2,65,5|9,0,0.6636341621451807
2,65,5|9,1,0.6888515848721241
2,65,5|9,2,0.6673492771642409
2,65,5|9,3,0.5279342506233262
2,65,5|9,4,0.6528066528066528
2,66,5|7,0,0.6021463916200759
2,66,5|7,1,0.6471065879932875
2,66,5|7,2,0.6378262260615202
2,66,5|7,3,0.4027924130663856
2,66,5|7,4,0.687288637967537
2,67,1|8,0,0.6617012617012616
2,67,1|8,1,0.6006593406593407
2,67,1|8,2,0.6718800912349301
2,67,1|8,3,0.6359082094376213
2,67,1|8,4,0.7710707896754408
2,68,2|6,0,0.6803620091663569
2,68,2|6,1,0.5480249480249479
2,68,2|6,2,0.7086329308551531
2,68,2|6,3,0.6250038476929233
2,68,2|6,4,0.7654294915791141
2,69,0|10,0,0.5533905999022278
2,69,0|10,1,0.47919660012683274
2,69,0|10,2,0.558649435535152
2,69,0|10,3,0.5799894087702215
2,69,0|10,4,0.38637743288906085
2,70,2|7,0,0.6991360089186175
2,70,2|7,1,0.6435051148426943
2,70,2|7,2,0.6888797477032771
2,70,2|7,3,0.7186913381603647
2,70,2|7,4,0.8041212449758567
2,71,6|8,0,0.6571623672721741
2,71,6|8,1,0.6501227010781151
2,71,6|8,2,0.7074876398646889
2,71,6|8,3,0.4904112436027329
2,71,6|8,4,0.7620484091072328
2,72,0|1,0,0.6297435897435898
2,72,0|1,1,0.5810240714699314
2,72,0|1,2,0.7689946881762739
2,72,0|1,3,0.5394730926583645
2,72,0|1,4,0.7230258961602245
2,73,1|3,0,0.642774259053329
2,73,1|3,1,0.6297435897435898
2,73,1|3,2,0.6727153188691649
2,73,1|3,3,0.5924458055605597
2,73,1|3,4,0.7033070947964565
2,74,4|8,0,0.6346618357487922
2,74,4|8,1,0.6318587727785842
2,74,4|8,2,0.7183205719791085
2,74,4|8,3,0.5230387718728825
2,74,4|8,4,0.7681888432885497
2,75,7|8,0,0.6591931670860978
2,75,7|8,1,0.6210826210826211
2,75,7|8,2,0.5978737946424895
2,75,7|8,3,0.4766803840877914
2,75,7|8,4,0.6877168750742964
2,76,2|4,0,0.6901274327492584
2,76,2|4,1,0.6289592760180996
2,76,2|4,2,0.6449744109318578
2,76,2|4,3,0.5482663968597473
2,76,2|4,4,0.6331588821961094
2,77,3|6,0,0.6818018756726285
2,77,3|6,1,0.5725687225687225
2,77,3|6,2,0.6147071277346506
2,77,3|6,3,0.5082925133043058
2,77,3|6,4,0.7551881336327142
2,78,0|7,0,0.5759191600013167
2,78,0|7,1,0.5546778018487368
2,78,0|7,2,0.6110649387960312
2,78,0|7,3,0.47042142844940976
2,78,0|7,4,0.6577699850639651
2,79,1|5,0,0.7010611191743267
2,79,1|5,1,0.6644969650006459
2,79,1|5,2,0.6986820009868998
2,79,1|5,3,0.6804290934022289
2,79,1|5,4,0.7196284694981933
2,80,9|10,0,0.701783040696883
2,80,9|10,1,0.6675709460357989
2,80,9|10,2,0.6506481299320175
2,80,9|10,3,0.47254738015607584
2,80,9|10,4,0.5617455008759357
2,81,3|7,0,0.6861577602990946
2,81,3|7,1,0.6140822140822141
2,81,3|7,2,0.6338612368024134
2,81,3|7,3,0.5968253968253969
2,81,3|7,4,0.7271051388698447
2,82,8|10,0,0.5934406678592724
2,82,8|10,1,0.6913082784450472
2,82,8|10,2,0.7624351968614264
2,82,8|10,3,0.4973626373626373
2,82,8|10,4,0.7152292152292152
2,83,4|9,0,0.6733896185115696
2,83,4|9,1,0.6649429002370179
2,83,4|9,2,0.7094017094017094
2,83,4|9,3,0.573075326499984
2,83,4|9,4,0.7874333066655012
2,84,3|6,0,0.6818018756726285
2,84,3|6,1,0.5725687225687225
2,84,3|6,2,0.6147071277346506
2,84,3|6,3,0.5082925133043058
2,84,3|6,4,0.7551881336327142
2,85,6|8,0,0.6571623672721741
2,85,6|8,1,0.6501227010781151
2,85,6|8,2,0.7074876398646889
2,85,6|8,3,0.4904112436027329
2,85,6|8,4,0.7620484091072328
2,86,6|9,0,0.6674103674103675
2,86,6|9,1,0.6018204248476331
2,86,6|9,2,0.7270571722184626
2,86,6|9,3,0.5466072256769932
2,86,6|9,4,0.7284973678416302
2,87,3|7,0,0.6861577602990946
2,87,3|7,1,0.6140822140822141
2,87,3|7,2,0.6338612368024134
2,87,3|7,3,0.5968253968253969
2,87,3|7,4,0.7271051388698447
2,88,2|10,0,0.6354462710861976
2,88,2|10,1,0.6075638232500978
2,88,2|10,2,0.6243712129159237
2,88,2|10,3,0.5914914841252321
2,88,2|10,4,0.6874028641470502
2,89,1|5,0,0.7010611191743267
2,89,1|5,1,0.6644969650006459
2,89,1|5,2,0.6986820009868998
2,89,1|5,3,0.6804290934022289
2,89,1|5,4,0.7196284694981933
2,90,7|9,0,0.6733896185115696
2,90,7|9,1,0.6235053987387826
2,90,7|9,2,0.6844555625043431
2,90,7|9,3,0.43394736417992236
2,90,7|9,4,0.6181975707317622
2,91,6|7,0,0.6914635433153953
2,91,6|7,1,0.5697129822129823
2,91,6|7,2,0.713770180436847
2,91,6|7,3,0.5521724709784411
2,91,6|7,4,0.7196814984425605
2,92,6|8,0,0.6571623672721741
2,92,6|8,1,0.6501227010781151
2,92,6|8,2,0.7074876398646889
2,92,6|8,3,0.4904112436027329
2,92,6|8,4,0.7620484091072328
2,93,1|4,0,0.6674485886308547
2,93,1|4,1,0.6126779624316571
2,93,1|4,2,0.7171206774876498
2,93,1|4,3,0.566975981610128
2,93,1|4,4,0.7241563291983459
2,94,6|8,0,0.6571623672721741
2,94,6|8,1,0.6501227010781151
2,94,6|8,2,0.7074876398646889
2,94,6|8,3,0.4904112436027329
2,94,6|8,4,0.7620484091072328
2,95,7|8,0,0.6591931670860978
2,95,7|8,1,0.6210826210826211
2,95,7|8,2,0.5978737946424895
2,95,7|8,3,0.4766803840877914
2,95,7|8,4,0.6877168750742964
2,96,5|9,0,0.6636341621451807
2,96,5|9,1,0.6888515848721241
2,96,5|9,2,0.6673492771642409
2,96,5|9,3,0.5279342506233262
2,96,5|9,4,0.6528066528066528
2,97,3|5,0,0.6479480416347599
2,97,3|5,1,0.6045426530122299
2,97,3|5,2,0.7251652959200129
2,97,3|5,3,0.518037518037518
2,97,3|5,4,0.7360176311534027
2,98,2|7,0,0.6991360089186175
2,98,2|7,1,0.6435051148426943
2,98,2|7,2,0.6888797477032771
2,98,2|7,3,0.7186913381603647
2,98,2|7,4,0.8041212449758567
2,99,4|7,0,0.6207638515330822
2,99,4|7,1,0.6128862590401052
2,99,4|7,2,0.5920704274013289
2,99,4|7,3,0.6643874643874643
2,99,4|7,4,0.7617502323384676
2,100,5|6,0,0.683918042216371
2,100,5|6,1,0.5468957329422446
2,100,5|6,2,0.7204261117304596
2,100,5|6,3,0.5937321937321938
2,100,5|6,4,0.7206469787969532
2,101,5|7,0,0.6021463916200759
2,101,5|7,1,0.6471065879932875
2,101,5|7,2,0.6378262260615202
2,101,5|7,3,0.4027924130663856
2,101,5|7,4,0.687288637967537
2,102,4|7,0,0.6207638515330822
2,102,4|7,1,0.6128862590401052
2,102,4|7,2,0.5920704274013289
2,102,4|7,3,0.6643874643874643
2,102,4|7,4,0.7617502323384676
2,103,5|8,0,0.619327908900302
2,103,5|8,1,0.6783778411685388
2,103,5|8,2,0.6591204787926099
2,103,5|8,3,0.4983210124822325
2,103,5|8,4,0.7211678610181538
2,104,3|5,0,0.6479480416347599
2,104,3|5,1,0.6045426530122299
2,104,3|5,2,0.7251652959200129
2,104,3|5,3,0.518037518037518
2,104,3|5,4,0.7360176311534027
2,105,8|10,0,0.5934406678592724
2,105,8|10,1,0.6913082784450472
2,105,8|10,2,0.7624351968614264
2,105,8|10,3,0.4973626373626373
2,105,8|10,4,0.7152292152292152
2,106,8|10,0,0.5934406678592724
2,106,8|10,1,0.6913082784450472
2,106,8|10,2,0.7624351968614264
2,106,8|10,3,0.4973626373626373
2,106,8|10,4,0.7152292152292152
2,107,6|7,0,0.6914635433153953
2,107,6|7,1,0.5697129822129823
2,107,6|7,2,0.713770180436847
2,107,6|7,3,0.5521724709784411
2,107,6|7,4,0.7196814984425605
2,108,1|3,0,0.642774259053329
2,108,1|3,1,0.6297435897435898
2,108,1|3,2,0.6727153188691649
2,108,1|3,3,0.5924458055605597
2,108,1|3,4,0.7033070947964565
2,109,5|9,0,0.6636341621451807
2,109,5|9,1,0.6888515848721241
2,109,5|9,2,0.6673492771642409
2,109,5|9,3,0.5279342506233262
2,109,5|9,4,0.6528066528066528
2,110,6|10,0,0.6234177283233887
2,110,6|10,1,0.586986047660205
2,110,6|10,2,0.650443276530233
2,110,6|10,3,0.45751567702787216
2,110,6|10,4,0.5906427490296573
2,111,5|9,0,0.6636341621451807
2,111,5|9,1,0.6888515848721241
2,111,5|9,2,0.6673492771642409
2,111,5|9,3,0.5279342506233262
2,111,5|9,4,0.6528066528066528
2,112,4|7,0,0.6207638515330822
2,112,4|7,1,0.6128862590401052
2,112,4|7,2,0.5920704274013289
2,112,4|7,3,0.6643874643874643
2,112,4|7,4,0.7617502323384676
2,113,0|5,0,0.5651200651200652
2,113,0|5,1,0.6330317536578354
2,113,0|5,2,0.6904128129934581
2,113,0|5,3,0.4886827585028784
2,113,0|5,4,0.6841766360947945
2,114,2|8,0,0.6846866096866097
2,114,2|8,1,0.5974190087324531
2,114,2|8,2,0.6749289414397539
2,114,2|8,3,0.6532459137501155
2,114,2|8,4,0.7428586819343123
2,115,0|9,0,0.641603989728743
2,115,0|9,1,0.6508248280004404
2,115,0|9,2,0.7007235447133144
2,115,0|9,3,0.47042142844940976
2,115,0|9,4,0.689149560117302
2,116,7|8,0,0.6591931670860978
2,116,7|8,1,0.6210826210826211
2,116,7|8,2,0.5978737946424895
2,116,7|8,3,0.4766803840877914
2,116,7|8,4,0.6877168750742964
2,117,0|6,0,0.6508168343611381
2,117,0|6,1,0.5096637779564609
2,117,0|6,2,0.6834371652785974
2,117,0|6,3,0.5200379867046534
2,117,0|6,4,0.7094017094017094
2,118,2|8,0,0.6846866096866097
2,118,2|8,1,0.5974190087324531
2,118,2|8,2,0.6749289414397539
2,118,2|8,3,0.6532459137501155
2,118,2|8,4,0.7428586819343123
2,119,3|5,0,0.6479480416347599
2,119,3|5,1,0.6045426530122299
2,119,3|5,2,0.7251652959200129
2,119,3|5,3,0.518037518037518
2,119,3|5,4,0.7360176311534027
2,120,2|7,0,0.6991360089186175
2,120,2|7,1,0.6435051148426943
2,120,2|7,2,0.6888797477032771
2,120,2|7,3,0.7186913381603647
2,120,2|7,4,0.8041212449758567
2,121,8|10,0,0.5934406678592724
2,121,8|10,1,0.6913082784450472
2,121,8|10,2,0.7624351968614264
2,121,8|10,3,0.4973626373626373
2,121,8|10,4,0.7152292152292152
2,122,7|10,0,0.5718120805369127
2,122,7|10,1,0.6537526205450734
2,122,7|10,2,0.6343852874646619
2,122,7|10,3,0.5104503339797457
2,122,7|10,4,0.6202863276034007
2,123,5|9,0,0.6636341621451807
2,123,5|9,1,0.6888515848721241
2,123,5|9,2,0.6673492771642409
2,123,5|9,3,0.5279342506233262
2,123,5|9,4,0.6528066528066528
2,124,6|8,0,0.6571623672721741
2,124,6|8,1,0.6501227010781151
2,124,6|8,2,0.7074876398646889
2,124,6|8,3,0.4904112436027329
2,124,6|8,4,0.7620484091072328
2,125,3|9,0,0.7390668825771498
2,125,3|9,1,0.6659434327779931
2,125,3|9,2,0.6575653120464441
2,125,3|9,3,0.5130653638315197
2,125,3|9,4,0.759166356992444
2,126,4|5,0,0.6185466707205838
2,126,4|5,1,0.594247282771873
2,126,4|5,2,0.699976476123265
2,126,4|5,3,0.6022629222629222
2,126,4|5,4,0.752431981196963
2,127,0|6,0,0.6508168343611381
2,127,0|6,1,0.5096637779564609
2,127,0|6,2,0.6834371652785974
2,127,0|6,3,0.5200379867046534
2,127,0|6,4,0.7094017094017094
2,128,4|7,0,0.6207638515330822
2,128,4|7,1,0.6128862590401052
2,128,4|7,2,0.5920704274013289
2,128,4|7,3,0.6643874643874643
2,128,4|7,4,0.7617502323384676
2,129,1|8,0,0.6617012617012616
2,129,1|8,1,0.6006593406593407
2,129,1|8,2,0.6718800912349301
2,129,1|8,3,0.6359082094376213
2,129,1|8,4,0.7710707896754408
2,130,3|9,0,0.7390668825771498
2,130,3|9,1,0.6659434327779931
2,130,3|9,2,0.6575653120464441
2,130,3|9,3,0.5130653638315197
2,130,3|9,4,0.759166356992444
2,131,2|6,0,0.6803620091663569
2,131,2|6,1,0.5480249480249479
2,131,2|6,2,0.7086329308551531
2,131,2|6,3,0.6250038476929233
2,131,2|6,4,0.7654294915791141
2,132,7|8,0,0.6591931670860978
2,132,7|8,1,0.6210826210826211
2,132,7|8,2,0.5978737946424895
2,132,7|8,3,0.4766803840877914
2,132,7|8,4,0.6877168750742964
2,133,6|10,0,0.6234177283233887
2,133,6|10,1,0.586986047660205
2,133,6|10,2,0.650443276530233
2,133,6|10,3,0.45751567702787216
2,133,6|10,4,0.5906427490296573
2,134,2|8,0,0.6846866096866097
2,134,2|8,1,0.5974190087324531
2,134,2|8,2,0.6749289414397539
2,134,2|8,3,0.6532459137501155
2,134,2|8,4,0.7428586819343123
2,135,4|10,0,0.7307936507936508
2,135,4|10,1,0.6313932980599647
2,135,4|10,2,0.5763123913824406
2,135,4|10,3,0.5608460242606583
2,135,4|10,4,0.635244238374647
2,136,1|2,0,0.6273270108886547
2,136,1|2,1,0.6408391209418167
