MU:galactitol_builds acid from,MU:glycerol_builds acid from,MU:lactose_builds acid from,MU:maltose_builds acid from,MU:sucrose_builds acid from,MU:amygdalin_builds acid from,MU:arbutin_builds acid from,MU:cellobiose_builds acid from,MU:D-arabinose_builds acid from,MU:D-arabitol_builds acid from,MU:D-fructose_builds acid from,MU:D-fucose_builds acid from,MU:D-galactose_builds acid from,MU:D-glucose_builds acid from,MU:D-lyxose_builds acid from,MU:D-mannitol_builds acid from,MU:D-mannose_builds acid from,MU:D-ribose_builds acid from,MU:D-sorbitol_builds acid from,MU:D-tagatose_builds acid from,MU:D-xylose_builds acid from,MU:erythritol_builds acid from,MU:esculin_builds acid from,MU:gentiobiose_builds acid from,MU:gluconate_builds acid from,MU:glycogen_builds acid from,MU:inulin_builds acid from,MU:L-arabinose_builds acid from,MU:L-arabitol_builds acid from,MU:L-fucose_builds acid from,MU:L-rhamnose_builds acid from,MU:L-sorbose_builds acid from,MU:L-xylose_builds acid from,MU:melezitose_builds acid from,MU:methyl alpha-D-glucopyranoside_builds acid from,MU:methyl alpha-D-mannoside_builds acid from,MU:methyl beta-D-xylopyranoside_builds acid from,MU:myo-inositol_builds acid from,MU:N-acetylglucosamine_builds acid from,MU:raffinose_builds acid from,MU:ribitol_builds acid from,MU:turanose_builds acid from,MU:xylitol_builds acid from,MU:trehalose_builds acid from,MU:Potassium 2-ketogluconate_builds acid from,MU:Potassium 5-ketogluconate_builds acid from
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1
0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1
0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,1,0,1,0,1
0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1
