# of predictors,i,predictors,fold,tn|fp|fn|tp
5,0,1|3|4|6|7,4,31|5|8|34
5,1,1|4|5|7|9,0,16|15|12|35
5,1,1|4|5|7|9,1,18|10|13|37
5,1,1|4|5|7|9,2,22|15|10|31
5,1,1|4|5|7|9,3,29|10|18|21
5,1,1|4|5|7|9,4,22|7|12|37
5,2,2|3|7|9|10,0,18|4|18|38
5,2,2|3|7|9|10,1,14|15|8|41
5,2,2|3|7|9|10,2,22|9|8|39
5,2,2|3|7|9|10,3,31|9|14|24
5,2,2|3|7|9|10,4,20|8|5|45
5,3,2|4|5|6|7,0,20|11|9|38
5,3,2|4|5|6|7,1,15|17|11|35
5,3,2|4|5|6|7,2,26|14|8|30
5,3,2|4|5|6|7,3,28|15|13|22
5,3,2|4|5|6|7,4,25|8|9|36
5,4,1|3|7|8|9,0,14|10|16|38
5,4,1|3|7|8|9,1,14|16|5|43
5,4,1|3|7|8|9,2,26|7|12|33
5,4,1|3|7|8|9,3,22|16|10|30
5,4,1|3|7|8|9,4,22|8|13|35
5,5,2|3|7|9|10,0,18|4|18|38
5,5,2|3|7|9|10,1,14|15|8|41
5,5,2|3|7|9|10,2,22|9|8|39
5,5,2|3|7|9|10,3,31|9|14|24
5,5,2|3|7|9|10,4,20|8|5|45
5,6,1|2|6|7|8,0,18|8|15|37
5,6,1|2|6|7|8,1,13|23|4|38
5,6,1|2|6|7|8,2,25|10|11|32
5,6,1|2|6|7|8,3,26|16|9|27
5,6,1|2|6|7|8,4,25|6|10|37
6,0,2|3|4|5|6|7,0,17|8|13|27
6,0,2|3|4|5|6|7,1,20|7|6|32
6,0,2|3|4|5|6|7,2,26|9|3|27
6,0,2|3|4|5|6|7,3,28|10|11|16
6,0,2|3|4|5|6|7,4,24|7|7|27
6,1,1|3|4|5|7|9,0,15|10|9|31
6,1,1|3|4|5|7|9,1,17|6|8|34
6,1,1|3|4|5|7|9,2,22|10|4|29
6,1,1|3|4|5|7|9,3,28|6|12|19
6,1,1|3|4|5|7|9,4,18|9|6|32
6,2,2|3|6|7|9|10,0,17|2|12|34
6,2,2|3|6|7|9|10,1,14|13|3|35
6,2,2|3|6|7|9|10,2,15|10|7|33
6,2,2|3|6|7|9|10,3,25|9|11|20
6,2,2|3|6|7|9|10,4,18|4|6|37
6,3,0|2|4|5|6|8,0,15|13|10|27
6,3,0|2|4|5|6|8,1,17|10|14|24
6,3,0|2|4|5|6|8,2,27|10|7|21
6,3,0|2|4|5|6|8,3,34|6|16|9
6,3,0|2|4|5|6|8,4,19|15|6|25
6,4,1|3|5|6|7|9,0,17|10|10|28
6,4,1|3|5|6|7|9,1,12|17|5|31
6,4,1|3|5|6|7|9,2,20|10|7|28
6,4,1|3|5|6|7|9,3,25|9|10|21
6,4,1|3|5|6|7|9,4,18|6|7|34
6,5,0|2|5|7|8|9,0,15|11|13|26
6,5,0|2|5|7|8|9,1,16|11|10|28
6,5,0|2|5|7|8|9,2,20|13|8|24
6,5,0|2|5|7|8|9,3,26|6|20|13
6,5,0|2|5|7|8|9,4,20|7|9|29
6,6,0|2|6|7|8|10,0,12|10|15|28
6,6,0|2|6|7|8|10,1,13|16|6|30
6,6,0|2|6|7|8|10,2,19|10|8|28
6,6,0|2|6|7|8|10,3,25|11|10|19
6,6,0|2|6|7|8|10,4,21|4|7|33
7,0,1|3|4|6|7|9|10,0,13|3|6|30
7,0,1|3|4|6|7|9|10,1,10|9|6|27
7,0,1|3|4|6|7|9|10,2,16|4|6|26
7,0,1|3|4|6|7|9|10,3,20|8|1|23
7,0,1|3|4|6|7|9|10,4,14|3|4|31
7,1,1|3|4|5|6|7|9,0,19|3|7|23
7,1,1|3|4|5|6|7|9,1,17|4|6|25
7,1,1|3|4|5|6|7|9,2,19|7|3|23
7,1,1|3|4|5|6|7|9,3,20|8|3|21
7,1,1|3|4|5|6|7|9,4,16|5|5|26
7,2,2|3|6|7|8|9|10,0,10|1|10|31
7,2,2|3|6|7|8|9|10,1,5|14|2|31
7,2,2|3|6|7|8|9|10,2,7|9|7|29
7,2,2|3|6|7|8|9|10,3,17|5|11|19
7,2,2|3|6|7|8|9|10,4,12|3|6|31
7,3,1|2|3|5|6|7|8,0,9|9|11|23
7,3,1|2|3|5|6|7|8,1,12|12|4|24
7,3,1|2|3|5|6|7|8,2,14|10|4|24
7,3,1|2|3|5|6|7|8,3,21|6|11|14
7,3,1|2|3|5|6|7|8,4,14|8|5|25
7,4,0|1|2|3|6|7|9,0,18|5|16|13
7,4,0|1|2|3|6|7|9,1,19|13|3|17
7,4,0|1|2|3|6|7|9,2,25|6|8|13
7,4,0|1|2|3|6|7|9,3,25|13|5|9
7,4,0|1|2|3|6|7|9,4,20|8|7|17
7,5,0|3|6|7|8|9|10,0,9|8|9|26
7,5,0|3|6|7|8|9|10,1,10|11|6|25
7,5,0|3|6|7|8|9|10,2,13|8|7|24
7,5,0|3|6|7|8|9|10,3,20|6|11|15
7,5,0|3|6|7|8|9|10,4,13|5|4|30
7,6,0|1|3|4|5|6|10,0,16|8|19|9
7,6,0|1|3|4|5|6|10,1,12|9|10|21
7,6,0|1|3|4|5|6|10,2,20|8|5|19
7,6,0|1|3|4|5|6|10,3,26|11|4|11
7,6,0|1|3|4|5|6|10,4,20|6|4|22
8,0,2|3|4|5|6|7|9|10,0,9|3|2|25
8,0,2|3|4|5|6|7|9|10,1,8|4|4|23
8,0,2|3|4|5|6|7|9|10,2,12|3|0|24
8,0,2|3|4|5|6|7|9|10,3,13|5|5|16
8,0,2|3|4|5|6|7|9|10,4,11|1|3|24
8,1,1|2|3|4|5|6|7|9,0,16|0|7|16
8,1,1|2|3|4|5|6|7|9,1,14|4|3|18
8,1,1|2|3|4|5|6|7|9,2,18|3|1|17
8,1,1|2|3|4|5|6|7|9,3,19|4|4|12
8,1,1|2|3|4|5|6|7|9,4,14|4|3|18
8,2,2|3|5|6|7|8|9|10,0,4|5|1|29
8,2,2|3|5|6|7|8|9|10,1,3|9|3|24
8,2,2|3|5|6|7|8|9|10,2,5|5|4|25
8,2,2|3|5|6|7|8|9|10,3,7|5|9|18
8,2,2|3|5|6|7|8|9|10,4,5|3|4|27
8,3,1|2|3|5|6|7|8|10,0,5|5|7|22
8,3,1|2|3|5|6|7|8|10,1,7|8|2|22
8,3,1|2|3|5|6|7|8|10,2,7|5|4|23
8,3,1|2|3|5|6|7|8|10,3,12|5|6|16
8,3,1|2|3|5|6|7|8|10,4,7|4|4|24
8,4,0|1|2|3|6|7|9|10,0,13|2|8|16
8,4,0|1|2|3|6|7|9|10,1,11|12|3|13
8,4,0|1|2|3|6|7|9|10,2,16|3|7|13
8,4,0|1|2|3|6|7|9|10,3,21|7|5|6
8,4,0|1|2|3|6|7|9|10,4,13|4|5|17
8,5,0|1|2|3|7|8|9|10,0,6|4|10|19
8,5,0|1|2|3|7|8|9|10,1,5|12|4|18
8,5,0|1|2|3|7|8|9|10,2,12|4|7|16
8,5,0|1|2|3|7|8|9|10,3,10|12|5|12
8,5,0|1|2|3|7|8|9|10,4,12|4|5|18
8,6,0|1|2|4|6|8|9|10,0,10|3|8|18
8,6,0|1|2|4|6|8|9|10,1,8|8|9|14
8,6,0|1|2|4|6|8|9|10,2,15|2|7|15
8,6,0|1|2|4|6|8|9|10,3,19|6|6|8
8,6,0|1|2|4|6|8|9|10,4,15|2|4|18
9,0,1|2|3|4|5|6|7|9|10,0,8|0|3|15
9,0,1|2|3|4|5|6|7|9|10,1,8|1|2|15
9,0,1|2|3|4|5|6|7|9|10,2,9|0|1|16
9,0,1|2|3|4|5|6|7|9|10,3,11|2|1|12
9,0,1|2|3|4|5|6|7|9|10,4,7|0|3|16
9,1,1|2|3|4|5|6|7|8|9,0,6|2|6|12
9,1,1|2|3|4|5|6|7|8|9,1,6|4|2|14
9,1,1|2|3|4|5|6|7|8|9,2,8|4|0|14
9,1,1|2|3|4|5|6|7|8|9,3,10|1|3|12
9,1,1|2|3|4|5|6|7|8|9,4,8|3|3|12
9,2,2|3|4|5|6|7|8|9|10,0,0|4|1|21
9,2,2|3|4|5|6|7|8|9|10,1,2|2|2|20
9,2,2|3|4|5|6|7|8|9|10,2,4|2|0|20
9,2,2|3|4|5|6|7|8|9|10,3,2|4|3|17
9,2,2|3|4|5|6|7|8|9|10,4,4|1|2|19
9,3,1|2|3|5|6|7|8|9|10,0,3|2|2|19
9,3,1|2|3|5|6|7|8|9|10,1,2|7|1|16
9,3,1|2|3|5|6|7|8|9|10,2,2|2|4|18
9,3,1|2|3|5|6|7|8|9|10,3,4|3|3|16
9,3,1|2|3|5|6|7|8|9|10,4,1|2|2|21
9,4,0|1|2|3|6|7|8|9|10,0,4|3|6|13
9,4,0|1|2|3|6|7|8|9|10,1,3|12|1|10
9,4,0|1|2|3|6|7|8|9|10,2,8|2|6|10
9,4,0|1|2|3|6|7|8|9|10,3,10|6|3|7
9,4,0|1|2|3|6|7|8|9|10,4,6|4|4|12
9,5,0|1|2|5|6|7|8|9|10,0,5|6|4|11
9,5,0|1|2|5|6|7|8|9|10,1,4|9|2|11
9,5,0|1|2|5|6|7|8|9|10,2,5|4|7|10
9,5,0|1|2|5|6|7|8|9|10,3,5|6|4|11
9,5,0|1|2|5|6|7|8|9|10,4,2|3|5|16
9,6,0|1|2|4|5|7|8|9|10,0,6|3|1|16
9,6,0|1|2|4|5|7|8|9|10,1,5|2|5|14
9,6,0|1|2|4|5|7|8|9|10,2,5|6|4|11
9,6,0|1|2|4|5|7|8|9|10,3,5|6|6|9
9,6,0|1|2|4|5|7|8|9|10,4,4|4|4|14
10,0,1|2|3|4|5|6|7|8|9|10,0,0|0|1|12
10,0,1|2|3|4|5|6|7|8|9|10,1,0|0|1|12
10,0,1|2|3|4|5|6|7|8|9|10,2,13
10,0,1|2|3|4|5|6|7|8|9|10,3,0|1|0|12
10,0,1|2|3|4|5|6|7|8|9|10,4,0|1|0|12
10,1,1|2|3|4|5|6|7|8|9|10,0,0|0|1|12
10,1,1|2|3|4|5|6|7|8|9|10,1,0|0|1|12
10,1,1|2|3|4|5|6|7|8|9|10,2,13
10,1,1|2|3|4|5|6|7|8|9|10,3,0|1|0|12
10,1,1|2|3|4|5|6|7|8|9|10,4,0|1|0|12
10,2,0|2|3|4|5|6|7|8|9|10,0,1|4|4|4
10,2,0|2|3|4|5|6|7|8|9|10,1,3|2|2|6
10,2,0|2|3|4|5|6|7|8|9|10,2,4|1|0|8
10,2,0|2|3|4|5|6|7|8|9|10,3,2|2|2|7
10,2,0|2|3|4|5|6|7|8|9|10,4,4|0|1|8
10,3,1|2|3|4|5|6|7|8|9|10,0,0|0|1|12
10,3,1|2|3|4|5|6|7|8|9|10,1,0|0|1|12
10,3,1|2|3|4|5|6|7|8|9|10,2,13
10,3,1|2|3|4|5|6|7|8|9|10,3,0|1|0|12
10,3,1|2|3|4|5|6|7|8|9|10,4,0|1|0|12
10,4,0|1|2|3|4|5|6|7|8|10,0,5|3|0|5
10,4,0|1|2|3|4|5|6|7|8|10,1,6|2|2|3
10,4,0|1|2|3|4|5|6|7|8|10,2,6|1|2|4
10,4,0|1|2|3|4|5|6|7|8|10,3,7|0|2|4
10,4,0|1|2|3|4|5|6|7|8|10,4,6|1|1|5
10,5,0|1|2|4|5|6|7|8|9|10,0,4|0|3|6
10,5,0|1|2|4|5|6|7|8|9|10,1,2|2|1|8
10,5,0|1|2|4|5|6|7|8|9|10,2,1|4|0|8
10,5,0|1|2|4|5|6|7|8|9|10,3,2|3|1|7
10,5,0|1|2|4|5|6|7|8|9|10,4,5|0|1|7
10,6,0|1|2|3|4|5|6|7|8|10,0,5|3|0|5
10,6,0|1|2|3|4|5|6|7|8|10,1,6|2|2|3
10,6,0|1|2|3|4|5|6|7|8|10,2,6|1|2|4
10,6,0|1|2|3|4|5|6|7|8|10,3,7|0|2|4
10,6,0|1|2|3|4|5|6|7|8|10,4,6|1|1|5
11,0,1|2|3|4|5|6|7|8|9|10,0,0|0|1|12
11,0,1|2|3|4|5|6|7|8|9|10,1,0|0|1|12
11,0,1|2|3|4|5|6|7|8|9|10,2,13
11,0,1|2|3|4|5|6|7|8|9|10,3,0|1|0|12
11,0,1|2|3|4|5|6|7|8|9|10,4,0|1|0|12
11,1,0|2|3|4|5|6|7|8|9|10,0,1|4|4|4
11,1,0|2|3|4|5|6|7|8|9|10,1,3|2|2|6
11,1,0|2|3|4|5|6|7|8|9|10,2,4|1|0|8
11,1,0|2|3|4|5|6|7|8|9|10,3,2|2|2|7
11,1,0|2|3|4|5|6|7|8|9|10,4,4|0|1|8
11,2,0|1|3|4|5|6|7|8|9|10,0,1|3|1|8
11,2,0|1|3|4|5|6|7|8|9|10,1,2|2|0|9
11,2,0|1|3|4|5|6|7|8|9|10,2,2|2|1|8
11,2,0|1|3|4|5|6|7|8|9|10,3,3|2|2|6
11,2,0|1|3|4|5|6|7|8|9|10,4,3|2|0|8
11,3,0|1|2|4|5|6|7|8|9|10,0,4|0|3|6
11,3,0|1|2|4|5|6|7|8|9|10,1,2|2|1|8
11,3,0|1|2|4|5|6|7|8|9|10,2,1|4|0|8
11,3,0|1|2|4|5|6|7|8|9|10,3,2|3|1|7
11,3,0|1|2|4|5|6|7|8|9|10,4,5|0|1|7
11,4,0|1|2|3|5|6|7|8|9|10,0,3|2|3|5
11,4,0|1|2|3|5|6|7|8|9|10,1,1|4|0|8
11,4,0|1|2|3|5|6|7|8|9|10,2,3|2|2|6
11,4,0|1|2|3|5|6|7|8|9|10,3,3|2|6|2
11,4,0|1|2|3|5|6|7|8|9|10,4,3|3|2|5
11,5,0|1|2|3|4|6|7|8|9|10,0,5|2|2|4
11,5,0|1|2|3|4|6|7|8|9|10,1,5|2|1|5
11,5,0|1|2|3|4|6|7|8|9|10,2,3|3|2|5
11,5,0|1|2|3|4|6|7|8|9|10,3,5|1|3|4
11,5,0|1|2|3|4|6|7|8|9|10,4,6|0|4|3
11,6,0|1|2|3|4|5|7|8|9|10,0,4|1|1|7
11,6,0|1|2|3|4|5|7|8|9|10,1,1|4|4|4
11,6,0|1|2|3|4|5|7|8|9|10,2,2|3|1|7
11,6,0|1|2|3|4|5|7|8|9|10,3,1|3|4|5
11,6,0|1|2|3|4|5|7|8|9|10,4,1|3|4|5
11,7,0|1|2|3|4|5|6|8|9|10,0,5|2|3|3
11,7,0|1|2|3|4|5|6|8|9|10,1,5|2|1|5
11,7,0|1|2|3|4|5|6|8|9|10,2,6|1|2|4
11,7,0|1|2|3|4|5|6|8|9|10,3,6|0|3|4
11,7,0|1|2|3|4|5|6|8|9|10,4,6|0|4|3
11,8,0|1|2|3|4|5|6|7|9|10,0,8|1|2|2
11,8,0|1|2|3|4|5|6|7|9|10,1,9|0|3|1
11,8,0|1|2|3|4|5|6|7|9|10,2,9|0|0|4
11,8,0|1|2|3|4|5|6|7|9|10,3,8|1|0|4
11,8,0|1|2|3|4|5|6|7|9|10,4,7|1|1|4
11,9,0|1|2|3|4|5|6|7|8|10,0,5|3|0|5
11,9,0|1|2|3|4|5|6|7|8|10,1,6|2|2|3
11,9,0|1|2|3|4|5|6|7|8|10,2,6|1|2|4
11,9,0|1|2|3|4|5|6|7|8|10,3,7|0|2|4
11,9,0|1|2|3|4|5|6|7|8|10,4,6|1|1|5
11,10,0|1|2|3|4|5|6|7|8|9,0,8|2|3|0
11,10,0|1|2|3|4|5|6|7|8|9,1,7|3|1|2
11,10,0|1|2|3|4|5|6|7|8|9,2,8|2|2|1
11,10,0|1|2|3|4|5|6|7|8|9,3,9|1|2|1
11,10,0|1|2|3|4|5|6|7|8|9,4,10|0|3|0
