# of predictors,i,predictors,fold,tn|fp|fn|tp
1,0,5,0,11|39|5|75
1,0,5,1,26|23|22|59
1,0,5,2,37|24|18|51
1,0,5,3,50|20|40|20
1,0,5,4,39|14|30|47
1,1,5,0,11|39|5|75
1,1,5,1,26|23|22|59
1,1,5,2,37|24|18|51
1,1,5,3,50|20|40|20
1,1,5,4,39|14|30|47
1,2,0,0,2|50|11|67
1,2,0,1,12|43|20|55
1,2,0,2,6|61|7|56
1,2,0,3,26|53|7|44
1,2,0,4,13|47|26|44
1,3,1,0,21|27|15|67
1,3,1,1,17|36|10|67
1,3,1,2,44|17|16|53
1,3,1,3,33|42|17|38
1,3,1,4,34|21|16|59
1,4,2,0,28|18|32|52
1,4,2,1,20|33|14|63
1,4,2,2,33|29|17|51
1,4,2,3,34|41|16|39
1,4,2,4,22|35|5|68
1,5,3,0,28|18|36|48
1,5,3,1,24|27|27|52
1,5,3,2,29|33|25|43
1,5,3,3,31|44|22|33
1,5,3,4,24|34|23|49
1,6,4,0,30|17|15|68
1,6,4,1,39|9|46|36
1,6,4,2,21|42|19|48
1,6,4,3,40|34|20|36
1,6,4,4,19|38|11|62
1,7,6,0,19|30|8|73
1,7,6,1,10|44|8|68
1,7,6,2,39|22|15|54
1,7,6,3,31|43|29|27
1,7,6,4,37|17|17|59
1,8,7,0,20|27|20|63
1,8,7,1,11|41|9|69
1,8,7,2,29|32|14|55
1,8,7,3,51|19|49|11
1,8,7,4,42|10|40|38
1,9,8,0,36|8|36|50
1,9,8,1,31|17|33|49
1,9,8,2,50|8|31|41
1,9,8,3,65|3|55|7
1,9,8,4,41|12|22|55
1,10,9,0,22|25|16|67
1,10,9,1,31|19|23|57
1,10,9,2,45|14|19|52
1,10,9,3,51|19|49|11
1,10,9,4,44|8|36|42
1,11,10,0,31|13|35|51
1,11,10,1,36|11|49|34
1,11,10,2,43|12|41|34
1,11,10,3,53|17|37|23
1,11,10,4,42|7|57|24
2,0,2|7,0,30|11|25|51
2,0,2|7,1,19|30|9|59
2,0,2|7,2,33|23|13|48
2,0,2|7,3,44|21|12|40
2,0,2|7,4,39|10|13|55
2,1,5|7,0,11|34|7|65
2,1,5|7,1,23|22|19|53
2,1,5|7,2,30|25|17|45
2,1,5|7,3,40|20|46|11
2,1,5|7,4,36|9|28|44
2,2,9|10,0,22|17|18|60
2,2,9|10,1,22|19|20|56
2,2,9|10,2,37|10|31|39
2,2,9|10,3,39|21|39|18
2,2,9|10,4,34|7|44|32
2,3,2|7,0,30|11|25|51
2,3,2|7,1,19|30|9|59
2,3,2|7,2,33|23|13|48
2,3,2|7,3,44|21|12|40
2,3,2|7,4,39|10|13|55
2,4,7|10,0,17|22|29|49
2,4,7|10,1,18|25|14|60
2,4,7|10,2,30|19|24|44
2,4,7|10,3,40|20|36|21
2,4,7|10,4,33|8|37|39
2,5,5|6,0,17|30|3|67
2,5,5|6,1,17|30|22|48
2,5,5|6,2,32|23|9|53
2,5,5|6,3,49|15|31|22
2,5,5|6,4,37|10|23|47
2,6,2|8,0,26|12|26|53
2,6,2|8,1,21|24|23|49
2,6,2|8,2,40|13|25|39
2,6,2|8,3,48|15|25|29
2,6,2|8,4,34|16|14|53
2,7,1|9,0,25|18|16|58
2,7,1|9,1,22|25|14|56
2,7,1|9,2,37|16|21|43
2,7,1|9,3,49|16|29|23
2,7,1|9,4,39|8|21|49
2,8,3|7,0,24|17|20|56
2,8,3|7,1,20|27|17|53
2,8,3|7,2,28|28|14|47
2,8,3|7,3,55|10|34|18
2,8,3|7,4,35|15|17|50
2,9,3|6,0,20|23|13|61
2,9,3|6,1,14|35|11|57
2,9,3|6,2,32|24|21|40
2,9,3|6,3,35|34|24|24
2,9,3|6,4,32|20|8|57
2,10,3|10,0,27|11|38|41
2,10,3|10,1,20|22|19|56
2,10,3|10,2,25|25|31|36
2,10,3|10,3,46|19|20|32
2,10,3|10,4,25|22|25|45
2,11,2|9,0,27|14|24|52
2,11,2|9,1,23|24|16|54
2,11,2|9,2,39|15|21|42
2,11,2|9,3,43|22|23|29
2,11,2|9,4,39|10|13|55
2,12,7|10,0,17|22|29|49
2,12,7|10,1,18|25|14|60
2,12,7|10,2,30|19|24|44
2,12,7|10,3,40|20|36|21
2,12,7|10,4,33|8|37|39
2,13,1|2,0,22|20|24|51
2,13,1|2,1,21|29|11|56
2,13,1|2,2,37|19|14|47
2,13,1|2,3,32|38|17|30
2,13,1|2,4,31|21|12|53
2,14,7|9,0,22|20|18|57
2,14,7|9,1,20|26|17|54
2,14,7|9,2,37|16|21|43
2,14,7|9,3,43|17|45|12
